model,corpus,topic_id,year,documents_in_year,cluster_documents,cluster_share,mean_assignment_probability,outlier_share,lower_95,upper_95,uncertainty_method,year_complete
BERTopic-METADATA-MULTILINGUAL,metadata,10,2023,341,8,0.02346,0.517264,0.501466,0.008798,0.038123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2023,341,8,0.02346,0.512205,0.501466,0.008798,0.041056,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2023,341,3,0.008798,0.566097,0.501466,0.0,0.017595,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2023,341,5,0.014663,0.739182,0.501466,0.002933,0.026393,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,14,2023,341,2,0.005865,0.124279,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,15,2023,341,6,0.017595,0.530066,0.501466,0.002933,0.032258,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,16,2023,341,2,0.005865,1.0,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,17,2023,341,4,0.01173,0.687168,0.501466,0.002933,0.02346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,18,2023,341,2,0.005865,1.0,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,19,2023,341,6,0.017595,0.762356,0.501466,0.005865,0.032258,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2023,341,9,0.026393,0.500999,0.501466,0.01173,0.043988,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,20,2023,341,2,0.005865,0.651613,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,21,2023,341,2,0.005865,0.247125,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,22,2023,341,7,0.020528,0.764456,0.501466,0.005865,0.035191,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2023,341,2,0.005865,0.354681,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2023,341,3,0.008798,0.788345,0.501466,0.0,0.020528,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2023,341,2,0.005865,0.658003,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2023,341,5,0.014663,0.69221,0.501466,0.002933,0.029326,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2023,341,1,0.002933,0.050865,0.501466,0.0,0.008798,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2023,341,2,0.005865,1.0,0.501466,0.0,0.017595,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2023,341,4,0.01173,0.865224,0.501466,0.002933,0.026393,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2023,341,5,0.014663,0.737716,0.501466,0.002933,0.026393,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,30,2023,341,2,0.005865,1.0,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,31,2023,341,0,0.0,0,0.501466,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,32,2023,341,3,0.008798,1.0,0.501466,0.0,0.020528,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,33,2023,341,0,0.0,0,0.501466,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,34,2023,341,2,0.005865,1.0,0.501466,0.0,0.014663,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,35,2023,341,0,0.0,0,0.501466,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,36,2023,341,6,0.017595,0.902205,0.501466,0.005865,0.032258,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,37,2023,341,1,0.002933,1.0,0.501466,0.0,0.008798,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,38,2023,341,6,0.017595,0.892836,0.501466,0.005865,0.032258,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,39,2023,341,1,0.002933,1.0,0.501466,0.0,0.008798,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2023,341,8,0.02346,0.753287,0.501466,0.008798,0.041056,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,40,2023,341,1,0.002933,1.0,0.501466,0.0,0.008798,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,41,2023,341,0,0.0,0,0.501466,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2023,341,8,0.02346,0.10429,0.501466,0.008798,0.041056,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2023,341,7,0.020528,0.351149,0.501466,0.005865,0.035191,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2023,341,3,0.008798,0.197697,0.501466,0.0,0.020528,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2023,341,8,0.02346,0.479114,0.501466,0.008798,0.041056,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2023,341,5,0.014663,0.634907,0.501466,0.002933,0.026393,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2024,379,6,0.015831,0.684144,0.490765,0.005277,0.029024,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2024,379,8,0.021108,0.51718,0.490765,0.007916,0.036939,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2024,379,6,0.015831,0.549462,0.490765,0.005277,0.029024,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2024,379,6,0.015831,0.567784,0.490765,0.005277,0.029024,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2024,379,4,0.010554,0.641576,0.490765,0.002639,0.021108,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2024,379,7,0.01847,0.562572,0.490765,0.005277,0.034301,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,14,2024,379,3,0.007916,0.538926,0.490765,0.0,0.015831,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,15,2024,379,5,0.013193,0.549284,0.490765,0.002639,0.026385,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,16,2024,379,2,0.005277,0.283826,0.490765,0.0,0.013193,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,17,2024,379,5,0.013193,0.647873,0.490765,0.005277,0.026385,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,18,2024,379,2,0.005277,0.187236,0.490765,0.0,0.013193,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,19,2024,379,4,0.010554,0.671881,0.490765,0.0,0.021108,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2024,379,7,0.01847,0.249517,0.490765,0.005277,0.031662,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,20,2024,379,4,0.010554,0.438237,0.490765,0.0,0.021108,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,21,2024,379,5,0.013193,0.711881,0.490765,0.002639,0.023747,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,22,2024,379,3,0.007916,0.533548,0.490765,0.0,0.01847,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2024,379,7,0.01847,0.802209,0.490765,0.005277,0.034301,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2024,379,2,0.005277,0.697913,0.490765,0.0,0.013193,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2024,379,3,0.007916,0.815954,0.490765,0.0,0.01847,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2024,379,2,0.005277,0.637518,0.490765,0.0,0.013193,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2024,379,2,0.005277,1.0,0.490765,0.0,0.013193,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2024,379,4,0.010554,1.0,0.490765,0.002639,0.023747,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2024,379,4,0.010554,0.836574,0.490765,0.002639,0.021108,bootstrap_cluster_share,True
