model,topic_id,year,document_count,documents_in_year,mean_probability_or_prevalence,ci95_low,ci95_high,coverage_in_year,outlier_percentage,year_complete
stm,11,2021,110,110,0.02999097408218378,0.014697555580106955,0.045284392584260605,1,0,TRUE
stm,11,2022,148,148,0.05003655345730392,0.02986748392187994,0.0702056229927279,1,0,TRUE
stm,11,2023,174,174,0.037668281609416175,0.024059364307840454,0.051277198910991896,1,0,TRUE
stm,11,2024,161,161,0.05131307682767221,0.030668883954967318,0.0719572697003771,1,0,TRUE
stm,11,2025,144,144,0.09513154615305526,0.06455247255963673,0.1257106197464738,1,0,TRUE
stm,11,2026,29,29,0.15509076506495503,0.08232907745598153,0.22785245267392853,1,0,FALSE
stm,12,2020,97,97,0.017835555821810168,0,0.03698300996985439,1,0,TRUE
stm,12,2021,110,110,0.007949527125980481,0,0.01672903710755747,1,0,TRUE
stm,12,2022,148,148,0.005388273729324349,0.0010508490039162115,0.009725698454732486,1,0,TRUE
stm,12,2023,174,174,0.023928318810664925,0.00859841893536411,0.03925821868596574,1,0,TRUE
stm,12,2024,161,161,0.004930814465119418,0.0010555791882119227,0.008806049742026914,1,0,TRUE
stm,12,2025,144,144,0.0068873484603253175,0,0.013965017830302878,1,0,TRUE
stm,12,2026,29,29,1.4408537915661725e-4,0,3.261568001391579e-4,1,0,FALSE
stm,13,2020,97,97,0.0455870161192615,0.0144913174396414,0.0766827147988816,1,0,TRUE
stm,13,2021,110,110,0.02316900186192695,0.001989125213098835,0.04434887851075507,1,0,TRUE
stm,13,2022,148,148,0.019664261909328105,0.0024581612524256363,0.03687036256623057,1,0,TRUE
stm,13,2023,174,174,0.02943619662013513,0.010593751517877087,0.04827864172239317,1,0,TRUE
stm,13,2024,161,161,0.022311872593853543,0.004336136838121923,0.04028760834958516,1,0,TRUE
stm,13,2025,144,144,0.027117274922688568,0.0068161765514244375,0.047418373293952695,1,0,TRUE
stm,13,2026,29,29,0.0024688885582847815,0,0.005883426262079264,1,0,FALSE
stm,14,2020,97,97,0.04167597921187364,0.014135005244571553,0.06921695317917573,1,0,TRUE
stm,14,2021,110,110,0.05060311356851409,0.02242168947931371,0.07878453765771447,1,0,TRUE
stm,14,2022,148,148,0.03018309074410698,0.014480961154198776,0.04588522033401518,1,0,TRUE
stm,14,2023,174,174,0.026415509527959936,0.012048958295330129,0.040782060760589746,1,0,TRUE
stm,14,2024,161,161,0.04503826250606772,0.024603314929532903,0.06547321008260254,1,0,TRUE
stm,14,2025,144,144,0.019944659948972224,0.008072880017277193,0.031816439880667256,1,0,TRUE
stm,14,2026,29,29,0.0043827062250768435,0,0.012041895569259237,1,0,FALSE
stm,15,2020,97,97,0.09532761626598521,0.05349933431690735,0.13715589821506308,1,0,TRUE
stm,15,2021,110,110,0.12326679977070987,0.08082608668512814,0.1657075128562916,1,0,TRUE
stm,15,2022,148,148,0.2096194584500805,0.1674827982427409,0.2517561186574201,1,0,TRUE
stm,15,2023,174,174,0.18424638819893263,0.14593001924913074,0.22256275714873452,1,0,TRUE
stm,15,2024,161,161,0.16024107398739837,0.1264739942835004,0.19400815369129634,1,0,TRUE
stm,15,2025,144,144,0.17629353274075343,0.13837019663767022,0.21421686884383664,1,0,TRUE
stm,15,2026,29,29,0.26458677969503797,0.17926612925032673,0.34990743013974923,1,0,FALSE
stm,16,2020,97,97,0.08115638472102459,0.040846990302635514,0.12146577913941366,1,0,TRUE
stm,16,2021,110,110,0.054781116530200395,0.025142551946458015,0.08441968111394277,1,0,TRUE
stm,16,2022,148,148,0.059899712445798885,0.02870107736513319,0.09109834752646458,1,0,TRUE
stm,16,2023,174,174,0.05128909020464549,0.02538025518327824,0.07719792522601274,1,0,TRUE
stm,16,2024,161,161,0.03802091768639331,0.01521993543035935,0.060821899942427274,1,0,TRUE
stm,16,2025,144,144,0.007765606201848448,0.002957494725193667,0.01257371767850323,1,0,TRUE
stm,16,2026,29,29,1.6589457024844702e-4,0,4.007734362856301e-4,1,0,FALSE
stm,17,2020,97,97,0.01089978041972774,0,0.031064495478669987,1,0,TRUE
stm,17,2021,110,110,0.020054994654293178,0,0.04501501080762246,1,0,TRUE
stm,17,2022,148,148,0.02530302982006929,0.0013640502809250735,0.04924200935921351,1,0,TRUE
stm,17,2023,174,174,0.013118260106537537,0,0.02903344531391419,1,0,TRUE
stm,17,2024,161,161,0.008656277088812218,0,0.02052058196371572,1,0,TRUE
stm,17,2025,144,144,0.002274371928879468,4.5379456258452344e-4,0.004094949295174412,1,0,TRUE
stm,17,2026,29,29,1.1719178765048894e-5,0,2.4500982154909535e-5,1,0,FALSE
stm,18,2020,97,97,0.04039072366655675,0.017133562217373197,0.06364788511574031,1,0,TRUE
stm,18,2021,110,110,0.051652915555131,0.02721086957448483,0.07609496153577716,1,0,TRUE
stm,18,2022,148,148,0.10980562467179321,0.07993802015330129,0.13967322919028513,1,0,TRUE
stm,18,2023,174,174,0.08065546245563789,0.057237016609511825,0.10407390830176394,1,0,TRUE
stm,18,2024,161,161,0.06558138302778885,0.041144072365811885,0.09001869368976581,1,0,TRUE
stm,18,2025,144,144,0.040711670044755115,0.023781292177742122,0.05764204791176811,1,0,TRUE
stm,18,2026,29,29,0.07605845068872513,0.02212583065805398,0.12999107071939628,1,0,FALSE
stm,19,2020,97,97,0.10665748829698257,0.06000298447205202,0.15331199212191313,1,0,TRUE
stm,19,2021,110,110,0.0741026636571546,0.038821054553408195,0.10938427276090099,1,0,TRUE
stm,19,2022,148,148,0.04991111129514555,0.022409867587192524,0.07741235500309857,1,0,TRUE
stm,19,2023,174,174,0.04337857354279932,0.022120333687994778,0.06463681339760387,1,0,TRUE
stm,19,2024,161,161,0.023190646897996266,0.0074371481204216945,0.038944145675570835,1,0,TRUE
stm,19,2025,144,144,0.026398673974890624,0.008078210879071061,0.04471913707071019,1,0,TRUE
stm,19,2026,29,29,0.0010726139041336773,2.436980203292127e-4,0.0019015297879381417,1,0,FALSE
stm,20,2020,97,97,0.07459761878972045,0.0365911209708811,0.11260411660855979,1,0,TRUE
stm,20,2021,110,110,0.12204961400071564,0.07859788189503472,0.16550134610639655,1,0,TRUE
stm,20,2022,148,148,0.1289221767379398,0.09102989644433232,0.16681445703154726,1,0,TRUE
stm,20,2023,174,174,0.12623070824211183,0.09087894534687452,0.16158247113734914,1,0,TRUE
stm,20,2024,161,161,0.09915831400582864,0.06694477604665504,0.13137185196500223,1,0,TRUE
stm,20,2025,144,144,0.07125458651959778,0.04406909807931765,0.0984400749598779,1,0,TRUE
stm,20,2026,29,29,0.20257836015909098,0.1048939820750921,0.30026273824308986,1,0,FALSE
stm,21,2020,97,97,0.009910186596910484,0.001103840206391293,0.018716532987429674,1,0,TRUE
stm,21,2021,110,110,0.016877367000127288,0.006693013164137901,0.027061720836116673,1,0,TRUE
stm,21,2022,148,148,0.017249500449707376,0.008146271141543088,0.026352729757871667,1,0,TRUE
stm,21,2023,174,174,0.0414307667892039,0.026116334894635093,0.0567451986837727,1,0,TRUE
stm,21,2024,161,161,0.10167443129774079,0.07031343981642534,0.13303542277905622,1,0,TRUE
stm,21,2025,144,144,0.16081700448139985,0.11789549419265172,0.20373851477014798,1,0,TRUE
stm,21,2026,29,29,0.12698164896607814,0.07199559754234777,0.1819677003898085,1,0,FALSE
stm,22,2020,97,97,0.012022434930825871,0,0.025200426599963976,1,0,TRUE
stm,22,2021,110,110,0.020372795590493376,0.0028664947956098114,0.03787909638537694,1,0,TRUE
stm,22,2022,148,148,0.023040587430994228,0.011694357696677834,0.03438681716531062,1,0,TRUE
stm,22,2023,174,174,0.02150567500231253,0.010744138640384244,0.032267211364240815,1,0,TRUE
stm,22,2024,161,161,0.006146592928704943,0.002411236589174633,0.009881949268235253,1,0,TRUE
stm,22,2025,144,144,0.006369239868653524,0.0015636936701736402,0.011174786067133407,1,0,TRUE
stm,22,2026,29,29,0.01254421568467991,0,0.02758017504677468,1,0,FALSE
